epoch	loss	acc	lr
1	tensor(4.5923, device='cuda:0')	0.03323896403481179	0.1
2	tensor(4.2731, device='cuda:0')	0.166299674950194	0.1
3	tensor(1.8912, device='cuda:0')	0.5771206878473314	0.1
4	tensor(0.6577, device='cuda:0')	0.825731362063542	0.1
5	tensor(0.4445, device='cuda:0')	0.8859180035650623	0.1
6	tensor(0.2076, device='cuda:0')	0.9489357240222293	0.1
7	tensor(0.1469, device='cuda:0')	0.9625668449197861	0.1
8	tensor(0.1169, device='cuda:0')	0.9710600817867254	0.1
9	tensor(0.0904, device='cuda:0')	0.9775610779070987	0.1
10	tensor(0.0772, device='cuda:0')	0.9811261402956905	0.1
11	tensor(0.0831, device='cuda:0')	0.9799727377582049	0.1
12	tensor(0.1791, device='cuda:0')	0.9500576701268743	0.1
13	tensor(0.1722, device='cuda:0')	0.956590122680088	0.1
14	tensor(0.1244, device='cuda:0')	0.966341616860648	0.1
15	tensor(0.0849, device='cuda:0')	0.9791338995491244	0.1
16	tensor(0.0692, device='cuda:0')	0.9820698332809059	0.1
17	tensor(0.0663, device='cuda:0')	0.9830135262661214	0.1
18	tensor(0.0672, device='cuda:0')	0.9823843976093111	0.1
19	tensor(0.0704, device='cuda:0')	0.9824892523854462	0.1
20	tensor(0.0658, device='cuda:0')	0.9826989619377162	0.1
21	tensor(0.0515, device='cuda:0')	0.9873125720876585	0.1
22	tensor(0.0461, device='cuda:0')	0.9885708294012793	0.1
23	tensor(0.0483, device='cuda:0')	0.9883611198490091	0.1
24	tensor(0.0525, device='cuda:0')	0.9874174268637936	0.1
25	tensor(0.0447, device='cuda:0')	0.9891999580580896	0.1
